Month,L,M,S,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3
61,-0.7387,15.2641,0.0839,12.118,13.031,14.071,15.264,16.645,18.259,20.166
62,-0.7621,15.2616,0.08414,12.115,13.027,14.066,15.262,16.648,18.273,20.2
63,-0.7856,15.2604,0.08439,12.114,13.024,14.063,15.26,16.653,18.29,20.238
64,-0.8089,15.2605,0.08464,12.114,13.022,14.061,15.26,16.659,18.308,20.277
65,-0.8322,15.2619,0.0849,12.114,13.021,14.06,15.262,16.667,18.328,20.32
66,-0.8554,15.2645,0.08516,12.115,13.021,14.06,15.264,16.676,18.35,20.365
67,-0.8785,15.2684,0.08543,12.117,13.021,14.061,15.268,16.686,18.374,20.413
68,-0.9015,15.2737,0.0857,12.121,13.023,14.063,15.274,16.699,18.399,20.463
69,-0.9243,15.2801,0.08597,12.125,13.026,14.067,15.28,16.712,18.427,20.515
70,-0.9471,15.2877,0.08625,12.129,13.03,14.071,15.288,16.727,18.456,20.571
71,-0.9697,15.2965,0.08653,12.135,13.035,14.077,15.296,16.743,18.487,20.628
72,-0.9921,15.3062,0.08682,12.141,13.04,14.083,15.306,16.761,18.52,20.689
73,-1.0144,15.3169,0.08711,12.148,13.047,14.09,15.317,16.78,18.554,20.751
74,-1.0365,15.3285,0.08741,12.155,13.053,14.098,15.328,16.799,18.589,20.816
75,-1.0584,15.3408,0.08771,12.163,13.061,14.107,15.341,16.82,18.626,20.883
76,-1.0801,15.354,0.08802,12.171,13.069,14.116,15.354,16.842,18.665,20.952
77,-1.1017,15.3679,0.08833,12.18,13.077,14.126,15.368,16.864,18.704,21.023
78,-1.123,15.3825,0.08865,12.189,13.086,14.136,15.382,16.888,18.745,21.097
79,-1.1441,15.3978,0.08898,12.198,13.095,14.147,15.398,16.913,18.788,21.174
80,-1.1649,15.4137,0.08931,12.208,13.105,14.158,15.414,16.938,18.831,21.251
81,-1.1856,15.4302,0.08964,12.218,13.115,14.17,15.43,16.964,18.876,21.331
82,-1.206,15.4473,0.08998,12.228,13.126,14.183,15.447,16.991,18.922,21.413
83,-1.2261,15.465,0.09033,12.239,13.136,14.195,15.465,17.019,18.969,21.498
84,-1.246,15.4832,0.09068,12.25,13.148,14.209,15.483,17.047,19.017,21.584
85,-1.2656,15.5019,0.09103,12.261,13.159,14.222,15.502,17.076,19.066,21.672
86,-1.2849,15.521,0.09139,12.272,13.171,14.236,15.521,17.106,19.116,21.763
87,-1.304,15.5407,0.09176,12.283,13.183,14.25,15.541,17.136,19.168,21.856
88,-1.3228,15.5608,0.09213,12.295,13.195,14.265,15.561,17.167,19.22,21.95
89,-1.3414,15.5814,0.09251,12.307,13.208,14.28,15.581,17.199,19.274,22.048
90,-1.3596,15.6023,0.09289,12.319,13.221,14.295,15.602,17.231,19.328,22.147
91,-1.3776,15.6237,0.09327,12.331,13.234,14.311,15.624,17.264,19.383,22.247
92,-1.3953,15.6455,0.09366,12.343,13.247,14.327,15.646,17.297,19.44,22.351
93,-1.4126,15.6677,0.09406,12.356,13.26,14.343,15.668,17.331,19.497,22.457
94,-1.4297,15.6903,0.09445,12.368,13.274,14.36,15.69,17.366,19.555,22.563
95,-1.4464,15.7133,0.09486,12.381,13.288,14.377,15.713,17.401,19.615,22.673
96,-1.4629,15.7368,0.09526,12.394,13.302,14.394,15.737,17.437,19.675,22.785
97,-1.479,15.7606,0.09567,12.407,13.317,14.412,15.761,17.473,19.736,22.899
98,-1.4947,15.7848,0.09609,12.42,13.331,14.429,15.785,17.51,19.798,23.015
99,-1.5101,15.8094,0.09651,12.434,13.346,14.447,15.809,17.548,19.862,23.134
100,-1.5252,15.8344,0.09693,12.447,13.361,14.466,15.834,17.586,19.926,23.254
101,-1.5399,15.8597,0.09735,12.461,13.376,14.484,15.86,17.624,19.99,23.376
102,-1.5542,15.8855,0.09778,12.475,13.392,14.503,15.886,17.663,20.056,23.5
103,-1.5681,15.9116,0.09821,12.489,13.408,14.523,15.912,17.702,20.123,23.627
104,-1.5817,15.9381,0.09864,12.503,13.424,14.542,15.938,17.742,20.19,23.755
105,-1.5948,15.9651,0.09907,12.518,13.44,14.562,15.965,17.783,20.258,23.885
106,-1.6076,15.9925,0.09951,12.532,13.456,14.582,15.992,17.824,20.327,24.018
107,-1.6199,16.0205,0.09994,12.547,13.473,14.603,16.02,17.866,20.397,24.151
108,-1.6318,16.049,0.10038,12.562,13.491,14.624,16.049,17.908,20.468,24.288
109,-1.6433,16.0781,0.10082,12.578,13.508,14.646,16.078,17.952,20.54,24.426
110,-1.6544,16.1078,0.10126,12.594,13.526,14.668,16.108,17.996,20.613,24.567
111,-1.6651,16.1381,0.1017,12.61,13.545,14.691,16.138,18.04,20.687,24.709
112,-1.6753,16.1692,0.10214,12.626,13.564,14.714,16.169,18.086,20.763,24.854
113,-1.6851,16.2009,0.10259,12.643,13.583,14.738,16.201,18.132,20.839,25.001
114,-1.6944,16.2333,0.10303,12.661,13.603,14.763,16.233,18.179,20.916,25.149
115,-1.7032,16.2665,0.10347,12.679,13.624,14.788,16.266,18.227,20.994,25.299
